Library,Prefix,Company
META-INF.androidx.appsearch,META-INF.androidx,
META-INF.androidx.collection,META-INF.androidx,
META-INF.androidx.concurrent,META-INF.androidx,
META-INF.androidx.datastore,META-INF.androidx,
META-INF.androidx.glance,META-INF.androidx,
META-INF.androidx.health.connect,META-INF.androidx,
META-INF.androidx.lifecycle,META-INF.androidx,
META-INF.androidx.room,META-INF.androidx,
META-INF.com.android.tools,META-INF.com,
META-INF.com.applovin,META-INF.com,
META-INF.com.github.skydoves,META-INF.com,
META-INF.com.unity3d.ads-mediation,META-INF.com,
META-INF.in.juspay,META-INF.in,
META-INF.io.bidmachine,META-INF.io,
META-INF.io.getstream,META-INF.io,
META-INF.io.purchasely,META-INF.io,
META-INF.maven.com.amazonaws,META-INF.maven,
META-INF.maven.com.google.errorprone,META-INF.maven,
META-INF.maven.com.google.guava,META-INF.maven,
META-INF.maven.com.squareup.retrofit2,META-INF.maven,
META-INF.maven.io.jsonwebtoken,META-INF.maven,
META-INF.maven.io.netty,META-INF.maven,
META-INF.maven.io.socket,META-INF.maven,
META-INF.native-image.com.google.http-client,META-INF.native-image,
META-INF.native-image.io.netty,META-INF.native-image,
META-INF.native-image.io.opentelemetry,META-INF.native-image,
SCL.lombok.Class50.lombok,SCL.lombok,
SCL.lombok.lombok,SCL.lombok,
SCL.lombok.org.objectweb.asm,SCL.lombok,
a.a.a.b,a.a,FALSE
a.a.b,a.a,FALSE
a.b.a.a.i,a.b,FALSE
admost.sdk.fairads,admost.sdk,
adsmanager.core.mediation,adsmanager.core,
ai.datatower.ad,ai.datatower,
ai.datatower.analytics,ai.datatower,
ai.datatower.iap,ai.datatower,
ai.turbolink.sdk,ai.turbolink,
alliance.redpacket.forced,alliance.redpacket,
alliance.redpacket.mainpagebus,alliance.redpacket,
anchor.lw.agora.openlive,anchor.lw,
android.arch.core,android.arch,
android.arch.lifecycle,android.arch,
android.arch.persistence,android.arch,
android.common.logging,android.common,
android.common.network,android.common,
android.common.places,android.common,
android.common.push,android.common,
android.gov.nist,android.gov,
android.javax.sip,android.javax,
android.support.v4,android.support,
android.support.v7,android.support,
android.taobao.windvane,android.taobao,
android.xingin.com.spi,android.xingin,
androidx.activity.result,androidx.activity,
androidx.ads.identifier,androidx.ads,
androidx.appcompat.view,androidx.appcompat,
androidx.arch.core,androidx.arch,
androidx.autofill.inline,androidx.autofill,
androidx.b.a,androidx.b,
androidx.browser.trusted,androidx.browser,
androidx.camera.camera2,androidx.camera,
androidx.camera.camera2.internal.compat,androidx.camera,
androidx.camera.core,androidx.camera,
androidx.camera.core.impl.utils,androidx.camera,
androidx.camera.extensions.internal,androidx.camera,
androidx.camera.impl.utils,androidx.camera,
androidx.camera.video,androidx.camera,
androidx.camera.video.internal,androidx.camera,
androidx.camera.view,androidx.camera,
androidx.car.app,androidx.car,
androidx.compose.animation,androidx.compose,
androidx.compose.foundation,androidx.compose,
androidx.compose.material,androidx.compose,
